4;14;4;2010;F;13.80;68.00;1013.00;7.00;3.00;11.00;0.00;2
5;14;4;2010;F;23.10;62.00;1018.00;21.00;2.00;48.00;0.23;4
6;14;4;2010;F;24.50;66.00;1015.00;15.00;2.00;21.00;0.00;5
7;14;4;2010;F;22.60;56.00;1024.00;24.00;6.00;45.00;0.00;5
1;15;4;2010;L;16.70;69.00;1025.00;21.00;4.00;39.00;0.03;4
2;15;4;2010;F;19.90;64.00;1020.00;16.00;2.00;26.00;0.00;4
3;15;4;2010;L;26.30;69.00;1019.00;39.00;4.00;56.00;0.23;4
4;15;4;2010;L;20.70;68.00;1021.00;22.00;3.00;39.00;0.00;3
5;15;4;2010;L;20.60;65.00;1022.00;15.00;2.00;28.00;0.28;0
6;15;4;2010;F;19.50;66.00;1022.00;26.00;4.00;43.00;0.00;1
7;15;4;2010;F;22.30;63.00;1015.00;16.00;3.00;24.00;0.00;0
1;16;4;2010;L;22.40;67.00;1005.00;19.00;3.00;30.00;0.00;4
2;16;4;2010;L;15.70;79.00;1011.00;24.00;6.00;37.00;0.00;1
3;16;4;2010;L;15.80;83.00;1011.00;15.00;2.00;24.00;0.15;0
4;16;4;2010;L;18.70;73.00;1011.00;12.00;3.00;19.00;0.00;1
5;16;4;2010;L;18.50;77.00;1014.00;15.00;2.00;21.00;0.00;2
6;16;4;2010;F;20.20;78.00;1014.00;15.00;2.00;26.00;0.00;0
7;16;4;2010;F;20.40;84.00;1015.00;18.00;3.00;28.00;0.30;2
1;17;4;2010;L;26.30;70.00;1017.00;16.00;2.00;28.00;0.05;2
2;17;4;2010;L;25.50;62.00;1017.00;15.00;2.00;23.00;0.00;2
3;17;4;2010;L;24.90;62.00;1017.00;19.00;3.00;32.00;0.15;1
4;17;4;2010;L;24.00;79.00;1012.00;18.00;2.00;32.00;0.15;1
5;17;4;2010;L;27.20;67.00;1013.00;31.00;3.00;43.00;0.00;5
6;17;4;2010;F;27.30;69.00;1018.00;19.00;3.00;32.00;0.00;13
7;17;4;2010;F;25.70;73.00;1023.00;19.00;3.00;30.00;0.00;12
1;18;4;2010;L;28.00;60.00;1024.00;16.00;2.00;24.00;0.00;21
2;18;4;2010;L;33.10;54.00;1022.00;21.00;3.00;32.00;0.00;49
3;18;4;2010;L;26.70;65.00;1023.00;16.00;3.00;26.00;0.00;34
4;18;4;2010;L;27.30;62.00;1021.00;18.00;2.00;28.00;0.00;60
5;18;4;2010;L;26.90;63.00;1014.00;21.00;4.00;34.00;0.00;38
6;18;5;2010;F;28.70;78.00;1011.00;36.00;2.00;55.00;1.17;45
7;18;5;2010;F;25.40;69.00;1011.00;18.00;4.00;32.00;0.00;34
1;19;5;2010;L;24.10;68.00;1008.00;39.00;5.00;60.00;0.51;15
2;19;5;2010;L;17.70;42.00;1009.00;37.00;10.00;60.00;0.03;12
3;19;5;2010;L;20.70;41.00;1010.00;33.00;9.00;56.00;0.00;13
4;19;5;2010;L;24.80;51.00;1009.00;26.00;4.00;37.00;0.00;25
5;19;5;2010;L;23.80;63.00;1008.00;24.00;4.00;38.00;0.48;40
6;19;5;2010;F;26.00;67.00;1008.00;21.00;3.00;32.00;0.05;33
7;19;5;2010;F;28.30;64.00;1007.00;30.00;4.00;41.00;0.00;43
1;20;5;2010;L;27.30;58.00;1007.00;28.00;4.00;38.00;0.00;52
2;20;5;2010;L;27.40;53.00;1006.00;24.00;3.00;43.00;0.03;35
3;20;5;2010;L;24.70;53.00;1009.00;27.00;4.00;38.00;0.00;9
4;20;5;2010;L;23.00;51.00;1011.00;34.00;2.00;49.00;0.10;10
5;20;5;2010;L;20.60;47.00;1013.00;37.00;5.00;63.00;0.03;6
6;20;5;2010;F;23.80;41.00;1017.00;26.00;6.00;43.00;0.00;6
7;20;5;2010;F;26.80;42.00;1022.00;28.00;4.00;43.00;0.00;24
1;21;5;2010;L;26.80;63.00;1024.00;21.00;4.00;32.00;0.00;12
2;21;5;2010;L;26.30;59.00;1025.00;18.00;3.00;32.00;0.00;16
3;21;5;2010;L;29.10;49.00;1022.00;68.00;4.00;71.00;0.00;17
4;21;5;2010;L;24.60;62.00;1024.00;16.00;4.00;26.00;0.00;9
5;21;5;2010;L;26.60;53.00;1022.00;18.00;3.00;28.00;0.00;11
6;21;5;2010;F;26.60;50.00;1019.00;22.00;3.00;32.00;0.00;5
7;21;5;2010;F;27.50;50.00;1017.00;21.00;3.00;32.00;0.00;15
1;22;5;2010;L;27.70;53.00;1018.00;19.00;4.00;34.00;0.05;11
2;22;5;2010;L;29.20;54.00;1016.00;19.00;3.00;30.00;0.00;9
3;22;5;2010;L;33.80;55.00;1012.00;27.00;3.00;39.00;0.00;26
4;22;5;2010;L;28.60;63.00;1011.00;33.00;4.00;43.00;0.05;15
5;22;5;2010;L;28.00;69.00;1016.00;22.00;2.00;32.00;0.33;1
6;22;5;2010;F;29.40;63.00;1020.00;23.00;3.00;34.00;0.00;5
7;22;5;2010;F;32.80;53.00;1020.00;21.00;3.00;28.00;0.00;12
1;23;5;2010;L;37.90;45.00;1019.00;21.00;3.00;32.00;0.00;5
